season,week,player_id,player_name,fantasy_points_ppr,fantasy_points,recent_team,opponent_team,passing_yards,rushing_yards,receiving_yards
2024,11,00-0023459,A.Rodgers,16.06,16.06,NYJ,IND,184.0,7.0,0.0
2024,6,00-0024243,M.Lewis,1.2,0.2,CHI,JAX,0.0,0.0,2.0
2024,10,00-0026158,J.Flacco,10.88,10.88,IND,BUF,272.0,0.0,0.0
2024,9,00-0026300,J.Johnson,0.2,0.2,BAL,DEN,0.0,2.0,0.0
2024,12,00-0026498,M.Stafford,19.22,19.22,LA,PHI,243.0,15.0,0.0
2024,7,00-0027973,A.Dalton,0.02,0.02,CAR,WAS,93.0,3.0,0.0
2024,1,00-0028118,T.Taylor,6.14,6.14,NYJ,SF,36.0,7.0,0.0
2024,8,00-0028872,J.Hekker,0.0,0.0,CAR,DEN,0.0,0.0,0.0
2024,6,00-0028899,R.McLeod,6.0,6.0,CLE,CLE,0.0,0.0,0.0
2024,12,00-0029263,R.Wilson,13.8,13.8,PIT,CLE,270.0,10.0,0.0
2024,11,00-0029604,K.Cousins,4.92,4.92,ATL,DEN,173.0,0.0,0.0
2024,11,00-0029692,B.Anger,0.16,0.16,DAL,HOU,4.0,0.0,0.0
2024,12,00-0029892,K.Juszczyk,2.4,1.4,SF,GB,0.0,0.0,14.0
2024,12,00-0030035,A.Thielen,8.7,5.7,CAR,KC,0.0,0.0,57.0
2024,12,00-0030061,Z.Ertz,15.8,9.8,WAS,DAL,0.0,0.0,38.0
2024,13,00-0030279,K.Allen,24.3,19.3,CHI,DET,0.0,0.0,73.0
2024,12,00-0030431,R.Woods,1.8,0.8,HOU,TEN,0.0,0.0,8.0
2024,13,00-0030506,T.Kelce,13.8,6.8,KC,LV,0.0,0.0,68.0
2024,13,00-0030564,D.Hopkins,13.0,9.0,KC,LV,0.0,0.0,90.0
2024,12,00-0030565,G.Smith,12.36,12.36,SEA,ARI,254.0,2.0,0.0
2024,12,00-0030578,C.Patterson,-0.2,-0.2,PIT,CLE,0.0,-2.0,0.0
2024,13,00-0031235,O.Beckham,1.9,0.9,MIA,GB,0.0,0.0,9.0
2024,13,00-0031236,B.Cooks,10.6,7.6,DAL,NYG,0.0,0.0,16.0
2024,11,00-0031280,D.Carr,18.72,18.72,NO,CLE,248.0,8.0,0.0
2024,1,00-0031299,J.Matthews,0.0,0.0,CAR,NO,0.0,0.0,0.0
2024,9,00-0031357,C.Goodwin,0.0,0.0,DAL,ATL,0.0,0.0,0.0
2024,11,00-0031381,D.Adams,13.2,7.2,NYJ,IND,0.0,0.0,72.0
2024,12,00-0031408,M.Evans,11.8,6.8,TB,NYG,0.0,0.0,68.0
2024,11,00-0031428,A.Robinson,1.7,0.7,DET,JAX,0.0,0.0,7.0
2024,9,00-0031484,C.Manhertz,7.2,6.2,NYG,WAS,0.0,0.0,2.0
2024,12,00-0031503,J.Winston,13.46,13.46,CLE,PIT,219.0,7.0,0.0
2024,11,00-0031544,A.Cooper,7.5,5.5,BUF,KC,0.0,0.0,55.0
2024,11,00-0031549,N.Agholor,0.0,0.0,BAL,PIT,0.0,0.0,0.0
2024,10,00-0031585,M.Pruitt,0.0,0.0,PIT,WAS,0.0,0.0,0.0
2024,8,00-0031588,S.Diggs,12.7,7.7,HOU,IND,0.0,-4.0,81.0
2024,12,00-0031595,M.Burton,2.1,1.1,DEN,LV,0.0,3.0,8.0
2024,13,00-0031687,R.Mostert,5.4,3.4,MIA,GB,0.0,19.0,15.0
2024,9,00-0031690,E.Tomlinson,1.2,0.2,LAC,CLE,0.0,0.0,2.0
2024,10,00-0031763,D.Carter,1.5,0.5,CHI,NE,0.0,0.0,5.0
2024,3,00-0031800,T.Heinicke,0.96,0.96,LAC,PIT,24.0,0.0,0.0
2024,1,00-0031941,J.Crowder,1.5,0.5,WAS,TB,0.0,0.0,5.0
2024,13,00-0032104,A.Abdullah,7.3,5.3,LV,KC,0.0,39.0,14.0
2024,12,00-0032128,C.Conley,0.0,0.0,SF,GB,0.0,0.0,0.0
2024,8,00-0032141,G.Swaim,1.7,0.7,CLE,BAL,0.0,0.0,7.0
2024,12,00-0032211,T.Lockett,4.0,2.0,SEA,ARI,0.0,0.0,20.0
2024,7,00-0032268,M.Mariota,19.6,19.6,WAS,CAR,205.0,34.0,0.0
2024,6,00-0032381,T.Decker,0.0,0.0,DET,DAL,0.0,0.0,0.0
2024,12,00-0032385,S.Shepard,6.6,1.6,TB,NYG,0.0,0.0,16.0
2024,12,00-0032392,A.Hooper,15.9,11.9,NE,MIA,0.0,0.0,59.0
2024,12,00-0032394,N.Vannett,0.0,0.0,TEN,HOU,0.0,0.0,0.0
2024,10,00-0032399,M.Killebrew,0.0,0.0,PIT,WAS,0.0,0.0,0.0
2024,12,00-0032434,B.Allen,8.46,8.46,SF,GB,199.0,5.0,0.0
2024,12,00-0032464,K.Raymond,0.0,0.0,DET,IND,0.0,0.0,0.0
2024,2,00-0032688,R.Chosen,1.5,0.5,MIA,BUF,0.0,0.0,5.0
2024,12,00-0032764,D.Henry,14.0,14.0,BAL,LAC,0.0,140.0,0.0
2024,12,00-0032775,D.Robinson,9.5,7.5,LA,PHI,0.0,0.0,15.0
2024,12,00-0032918,C.Ham,0.0,0.0,MIN,CHI,0.0,0.0,0.0
2024,8,00-0032943,R.Dixon,0.12,0.12,DEN,CAR,3.0,0.0,0.0
2024,12,00-0033009,T.Boyd,11.5,5.5,TEN,HOU,0.0,0.0,55.0
2024,13,00-0033040,T.Hill,20.3,14.3,MIA,GB,0.0,0.0,83.0
2024,13,00-0033045,E.Elliott,0.4,0.4,DAL,NYG,0.0,4.0,0.0
2024,9,00-0033077,D.Prescott,12.32,12.32,DAL,ATL,133.0,30.0,0.0
2024,12,00-0033090,H.Henry,9.4,4.4,NE,MIA,0.0,0.0,44.0
2024,13,00-0033106,J.Goff,16.94,16.94,DET,CHI,221.0,1.0,0.0
2024,8,00-0033119,J.Brissett,8.38,8.38,NE,NYJ,132.0,11.0,0.0
2024,11,00-0033217,M.Alie-Cox,3.7,1.7,IND,NYJ,0.0,0.0,17.0
2024,12,00-0033246,J.Mundt,1.7,0.7,MIN,CHI,0.0,0.0,7.0
2024,12,00-0033280,C.McCaffrey,7.8,4.8,SF,GB,0.0,31.0,37.0
2024,11,00-0033282,C.Samuel,16.8,11.8,BUF,KC,0.0,0.0,58.0
2024,12,00-0033288,G.Kittle,20.2,14.2,SF,GB,0.0,0.0,82.0
2024,12,00-0033293,A.Jones,19.9,16.9,MIN,CHI,0.0,106.0,23.0
2024,12,00-0033307,K.Bourne,6.0,3.0,NE,MIA,0.0,0.0,30.0
2024,12,00-0033319,N.Mullens,0.56,0.56,MIN,CHI,14.0,0.0,0.0
2024,11,00-0033357,T.Hill,41.52,33.52,NO,CLE,18.0,138.0,50.0
2024,13,00-0033375,T.Patrick,6.8,4.8,DET,CHI,0.0,0.0,48.0
2024,11,00-0033376,P.Ricard,1.5,0.5,BAL,PIT,0.0,0.0,5.0
2024,12,00-0033439,P.Brown,3.9,1.9,SEA,ARI,0.0,0.0,19.0
2024,4,00-0033460,J.Ross,1.6,0.6,PHI,TB,0.0,0.0,6.0
2024,13,00-0033526,S.Perine,2.5,1.5,KC,LV,0.0,0.0,15.0
2024,10,00-0033536,M.Williams,10.2,9.2,PIT,WAS,0.0,0.0,32.0
2024,7,00-0033537,D.Watson,5.12,5.12,CLE,CIN,128.0,0.0,0.0
2024,12,00-0033553,J.Conner,9.9,4.9,ARI,SEA,0.0,8.0,41.0
2024,11,00-0033555,M.Hollins,4.7,2.7,BUF,KC,0.0,0.0,27.0
2024,7,00-0033557,J.Reeves-Maybin,0.1,0.1,DET,MIN,0.0,1.0,0.0
2024,12,00-0033576,E.Saubert,0.0,0.0,SF,GB,0.0,0.0,0.0
2024,12,00-0033589,D.Moore,20.1,14.1,CAR,KC,0.0,0.0,81.0
2024,12,00-0033591,N.Brown,13.1,7.1,WAS,DAL,0.0,0.0,71.0
2024,13,00-0033662,C.Rush,11.8,11.8,DAL,NYG,195.0,0.0,0.0
2024,12,00-0033699,A.Ekeler,4.4,2.4,WAS,DAL,0.0,22.0,2.0
2024,11,00-0033854,D.Ogunbowale,2.1,1.1,HOU,DAL,0.0,0.0,11.0
2024,13,00-0033857,J.Smith-Schuster,2.0,1.0,KC,LV,0.0,0.0,10.0
2024,13,00-0033858,J.Smith,21.3,11.3,MIA,GB,0.0,0.0,113.0
2024,10,00-0033869,M.Trubisky,-0.1,-0.1,BUF,IND,0.0,-1.0,0.0
2024,13,00-0033873,P.Mahomes,16.64,16.64,KC,LV,306.0,4.0,0.0
2024,11,00-0033881,E.Engram,7.8,2.8,JAX,DET,0.0,0.0,28.0
2024,12,00-0033885,D.Njoku,3.9,2.9,CLE,PIT,0.0,0.0,9.0
2024,8,00-0033891,Z.Jones,1.3,0.3,ARI,MIA,0.0,0.0,3.0
2024,9,00-0033893,D.Cook,0.8,0.8,DAL,ATL,0.0,8.0,0.0
2024,9,00-0033895,G.Everett,1.5,0.5,CHI,ARI,0.0,0.0,5.0
2024,12,00-0033897,J.Mixon,9.5,4.5,HOU,TEN,0.0,22.0,23.0
2024,11,00-0033906,A.Kamara,12.9,8.9,NO,CLE,0.0,67.0,22.0
2024,12,00-0033908,C.Kupp,20.0,12.0,LA,PHI,0.0,0.0,60.0
2024,7,00-0033921,C.Godwin,13.5,6.5,TB,BAL,0.0,0.0,65.0
2024,13,00-0033923,K.Hunt,3.5,1.5,KC,LV,0.0,15.0,0.0
2024,8,00-0033925,D.Foreman,2.6,2.6,CLE,BAL,0.0,26.0,0.0
2024,5,00-0033943,J.Reynolds,7.9,6.9,DEN,LV,0.0,0.0,9.0
2024,8,00-0033948,J.Williams,0.4,0.4,NO,LAC,0.0,4.0,0.0
