season,week,player_id,player_name,fantasy_points_ppr,fantasy_points,recent_team,opponent_team,passing_yards,rushing_yards,receiving_yards
2021,1,00-0019596,T.Brady,27.16,27.16,TB,DAL,379.0,0.0,0.0
2021,2,00-0019596,T.Brady,29.64,29.64,TB,ATL,276.0,6.0,0.0
2021,3,00-0019596,T.Brady,28.68,28.68,TB,LA,432.0,14.0,0.0
2021,4,00-0019596,T.Brady,11.06,11.06,TB,NE,269.0,3.0,0.0
2021,5,00-0019596,T.Brady,37.74,37.74,TB,MIA,411.0,13.0,0.0
2021,6,00-0019596,T.Brady,17.98,17.98,TB,PHI,297.0,1.0,0.0
2021,7,00-0019596,T.Brady,24.44,24.44,TB,CHI,211.0,0.0,0.0
2021,8,00-0019596,T.Brady,25.2,25.2,TB,NO,375.0,2.0,0.0
2021,10,00-0019596,T.Brady,13.0,13.0,TB,WAS,220.0,2.0,0.0
2021,11,00-0019596,T.Brady,19.28,19.28,TB,NYG,307.0,10.0,0.0
2021,12,00-0019596,T.Brady,11.24,11.24,TB,IND,226.0,2.0,0.0
2021,13,00-0019596,T.Brady,28.62,28.62,TB,ATL,368.0,-1.0,0.0
2021,14,00-0019596,T.Brady,30.12,30.12,TB,BUF,363.0,16.0,0.0
2021,15,00-0019596,T.Brady,4.76,4.76,TB,NO,214.0,2.0,0.0
2021,16,00-0019596,T.Brady,14.38,14.38,TB,CAR,232.0,11.0,0.0
2021,17,00-0019596,T.Brady,26.4,26.4,TB,NYJ,410.0,0.0,0.0
2021,18,00-0019596,T.Brady,25.04,25.04,TB,CAR,326.0,0.0,0.0
2021,19,00-0019596,T.Brady,18.84,18.84,TB,PHI,271.0,0.0,0.0
2021,20,00-0019596,T.Brady,13.16,13.16,TB,LA,329.0,0.0,0.0
2021,18,00-0022824,A.Lee,0.0,0.0,ARI,SEA,0.0,0.0,0.0
2021,1,00-0022924,B.Roethlisberger,12.02,12.02,PIT,BUF,188.0,5.0,0.0
2021,2,00-0022924,B.Roethlisberger,13.8,13.8,PIT,LV,295.0,0.0,0.0
2021,3,00-0022924,B.Roethlisberger,13.22,13.22,PIT,CIN,318.0,5.0,0.0
2021,4,00-0022924,B.Roethlisberger,9.28,9.28,PIT,GB,232.0,0.0,0.0
2021,5,00-0022924,B.Roethlisberger,16.02,16.02,PIT,DEN,253.0,-1.0,0.0
2021,6,00-0022924,B.Roethlisberger,10.86,10.86,PIT,SEA,229.0,-3.0,0.0
2021,8,00-0022924,B.Roethlisberger,14.64,14.64,PIT,CLE,266.0,0.0,0.0
2021,9,00-0022924,B.Roethlisberger,16.2,16.2,PIT,CHI,205.0,0.0,0.0
2021,11,00-0022924,B.Roethlisberger,22.92,22.92,PIT,LAC,273.0,0.0,0.0
2021,12,00-0022924,B.Roethlisberger,8.52,8.52,PIT,CIN,263.0,0.0,0.0
2021,13,00-0022924,B.Roethlisberger,19.34,19.34,PIT,BAL,236.0,-1.0,0.0
2021,14,00-0022924,B.Roethlisberger,24.82,24.82,PIT,MIN,308.0,5.0,0.0
2021,15,00-0022924,B.Roethlisberger,11.92,11.92,PIT,TEN,148.0,0.0,0.0
2021,16,00-0022924,B.Roethlisberger,6.36,6.36,PIT,KC,159.0,0.0,0.0
2021,17,00-0022924,B.Roethlisberger,6.82,6.82,PIT,CLE,123.0,-1.0,0.0
2021,18,00-0022924,B.Roethlisberger,11.36,11.36,PIT,BAL,244.0,-4.0,0.0
